可回看01,#genre#
CCTV5+,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EevWZ0zmguDsOY_Mf3SM5TA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV6,http://111.48.34.237/PLTV/88888888/224/3221230154/1.m3u8
CCTV7,http://111.48.34.237/PLTV/88888888/224/3221229895/1.m3u8
CCTV7,http://111.48.34.237/PLTV/88888888/224/3221230442/1.m3u8
CCTV7,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226687/1.m3u8
CCTV7,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E2bEV_zkW1hRnWmsZq6rlbw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV8,http://111.48.34.237/PLTV/88888888/224/3221230169/1.m3u8
CCTV9,http://111.48.34.237/PLTV/88888888/224/3221229864/1.m3u8
CCTV9,http://111.48.34.237/PLTV/88888888/224/3221230330/1.m3u8
CCTV9,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226571/1.m3u8
CCTV9,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EgdZMBjOTdDWVEgovFkZoew%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV10,http://111.48.34.237/PLTV/88888888/224/3221229874/1.m3u8
CCTV10,http://111.48.34.237/PLTV/88888888/224/3221230491/1.m3u8
CCTV10,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226680/1.m3u8
CCTV10,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Egbbk6OxyTS2utbJWm7Qw1w%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV11,http://111.48.34.237/PLTV/88888888/224/3221229869/1.m3u8
CCTV11,http://111.48.34.237/PLTV/88888888/224/3221230444/1.m3u8
CCTV11,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226684/1.m3u8
CCTV12,http://111.48.34.237/PLTV/88888888/224/3221229897/1.m3u8
CCTV12,http://111.48.34.237/PLTV/88888888/224/3221230363/1.m3u8
CCTV12,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226560/1.m3u8
CCTV12,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E9nVa4WyKpuJgFy6Zh4TplQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV13,http://111.48.34.237/PLTV/88888888/224/3221230493/1.m3u8
CCTV13,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226688/1.m3u8
CCTV14,http://111.48.34.237/PLTV/88888888/224/3221229868/1.m3u8
CCTV14,http://111.48.34.237/PLTV/88888888/224/3221230446/1.m3u8
CCTV14,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226685/1.m3u8
CCTV14,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EgtTqPYLE5COifF-qvYi2Ig%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV15,http://111.48.34.237/PLTV/88888888/224/3221229861/1.m3u8
CCTV15,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226677/1.m3u8
CCTV16,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227002/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EX9goLRw26BM_r54des2PAw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV17,http://111.48.34.237/PLTV/88888888/224/3221229831/1.m3u8
CCTV17,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EEkwQnoHNXRDb-IayWakK1A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV超高清4K,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226737/1.m3u8
CCTV超高清4K,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226766/1.m3u8


湖北公共新闻,http://111.48.34.237/PLTV/88888888/224/3221229800/1.m3u8
湖北经视,http://111.48.34.237/PLTV/88888888/224/3221229804/1.m3u8
湖北综合,http://111.48.34.237/PLTV/88888888/224/3221229806/1.m3u8
湖北卫视,http://111.48.34.237/PLTV/88888888/224/3221229812/1.m3u8
湖北垄上,http://111.48.34.237/PLTV/88888888/224/3221229833/1.m3u8
湖北经视,http://111.48.34.237/PLTV/88888888/224/3221230388/1.m3u8
湖北垄上,http://111.48.34.237/PLTV/88888888/224/3221230390/1.m3u8
湖北影视,http://111.48.34.237/PLTV/88888888/224/3221230404/1.m3u8
